medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
1C8ADF747EB27F621D10C184B3CC7A01,3AC3F4A9C7B04322856AB425C073C07C,VTS,1,,2013-07-03 08:46:00,2013-07-03 09:01:00,2,900,2.61,-73.968933,40.798744,-73.981728,40.767448
2C02AC5CD7236959C1DF87721A1E0E89,A96655824B68002B03C930264F0C3277,VTS,1,,2013-07-03 06:49:00,2013-07-03 06:53:00,1,240,.81,-73.948708,40.773815,-73.955849,40.764187
324873D5430A5892D28871ABEC3FFCDA,C7043E5A0FDFFB841C6C1D63608250C3,VTS,1,,2013-07-03 12:39:00,2013-07-03 12:43:00,1,240,.72,-73.950401,40.779732,-73.950172,40.772213
FEAF6C87C3422D111612942D665CA853,6C9D3B5601E73160A1230E0572523BA2,VTS,1,,2013-07-03 11:50:00,2013-07-03 11:56:00,6,360,1.07,-74.003777,40.723587,-74.005539,40.733269
BEBB8431C9CCC98363120F3D6B72BB1B,22C4133537E0F28418072056F90E435B,VTS,1,,2013-07-03 09:13:00,2013-07-03 09:24:00,1,660,1.20,-73.968575,40.770267,-73.975128,40.755718
232840CC49C3846876B29C434104F356,6E6653EA57036E7C9788851F6AAA8792,VTS,1,,2013-07-03 07:45:00,2013-07-03 07:50:00,1,300,1.13,-73.981522,40.779003,-73.99057,40.769932
1490B9720A4CB8D6E38D7FC48982E86E,0635D76F95D6D2F37A2E07EEFE863299,VTS,1,,2013-07-03 09:35:00,2013-07-03 09:52:00,1,1020,3.48,-73.987961,40.764751,-74.008072,40.729897
1D426A1D4A9DFFACBEB26889355C567F,E4A68B66CA72899759EA6E2115C5C0A3,VTS,1,,2013-07-03 12:39:00,2013-07-03 12:53:00,6,840,1.81,-74.005699,40.745533,-74.001862,40.724609
7DBAAF23121C4838E36F3C937461273C,737C78D1DEFF1EA4E7CF02800E57AF78,VTS,1,,2013-07-03 11:05:00,2013-07-03 11:29:00,2,1440,7.87,-73.97522,40.766006,-74.014328,40.709717
0B85A264A33D1BA87064132771649127,0677460DCA97CD1B0280BE342B1EF012,VTS,1,,2013-07-03 09:16:00,2013-07-03 09:33:00,1,1020,3.73,-73.965004,40.764076,-73.909874,40.749767
69AB57298683986171AA44FC6EB6F2DA,24AC54D9CB13C59970FFF2EC2FF6AB81,VTS,1,,2013-07-03 12:04:00,2013-07-03 12:14:00,1,600,1.24,-73.990036,40.752373,-73.980125,40.763523
